web-scraper-order,web-scraper-start-url,pagination-selector,data,name,name2,name3,position,name4,data2,data3,data4,data5,data6,data7,position2,data8,image-src,image2-src
"1755095188-1","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","16:00","Ath. Bilbao","Barcelona","Barcelona","3","Barcelona","16:00","9","3.15","2.08","–","0","3","0","/serve/images/team-logo/Homens/hxEqh383-fcDVLdrL.png?250812162815","/serve/images/team-logo/Homens/E3gwIRk9-vJb36ZBF.png?250812162815"
"1755095188-2","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","11:15","Villarreal","Villarreal","Sevilla","4","Villarreal","4.14","9","1.74","1.74","–","4","2","4","/serve/images/team-logo/Homens/h0QSRGRc-tIT0KyhE.png?250812162815","/serve/images/team-logo/Homens/QZZkCuAK-GSuwY3p9.png?250812162815"
"1755095188-3","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","09:00","Girona","Atl. Madrid","Atl. Madrid","4","Atl. Madrid","2.15","9","3.33","2.15","–","0","4","0","/serve/images/team-logo/Homens/IDEtC6BK-nLBjwR1F.png?250812162815","/serve/images/team-logo/Homens/4Mo7jQUE-vPm0hQMN.png?250812162815"
"1755095188-4","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","16:00","Alavés","","Osasuna","","","2.35","9","3.21","3.11","–","1","1","1","/serve/images/team-logo/Homens/zwf5maRc-bZmYBGs9.png?250812162815","/serve/images/team-logo/Homens/zFwd9Lph-4U3vjZKk.png?250812162815"
"1755095188-5","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","16:00","Getafe","Celta de Vigo","Celta de Vigo","2","Celta de Vigo","1.73","9","4.77","1.73","–","1","2","1","/serve/images/team-logo/Homens/GdqPUsVE-SOY3p1Si.png?250812162815","/serve/images/team-logo/Homens/f967ADnh-YmCZKGcR.png?250812162815"
"1755095188-6","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","16:00","Rayo Vallecano","","Mallorca","","","7.01","9","1.47","4.31","–","0","0","0","/serve/images/team-logo/Homens/CtnAiE5n-rmDEjevK.png?250812162815","/serve/images/team-logo/Homens/fsBtkPQt-zZXXZMUi.png?250812162815"
"1755095188-7","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","13:30","Espanyol","Espanyol","Las Palmas","2","Espanyol","8.06","9","1.37","1.37","–","2","0","2","/serve/images/team-logo/Homens/61SJx8mh-KreeekQh.png?250812162815","/serve/images/team-logo/Homens/AHP501j9-8GL0cHSF.png?250812162815"
"1755095188-8","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","13:30","Leganés","Leganés","Valladolid","3","Leganés","8.66","9","1.33","1.33","–","3","0","3","/serve/images/team-logo/Homens/lUJaKX7n-htRvrFH6.png?250812162815","/serve/images/team-logo/Homens/pfK7VdUE-nDyT2xMM.png?250812162815"
"1755095188-9","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","11:15","Real Madrid","Real Madrid","Real Sociedad","2","Real Madrid","7.33","9","1.35","1.35","–","2","0","2","/serve/images/team-logo/Homens/Gnb7KZTc-vJb36ZBF.png?250812162815","/serve/images/team-logo/Homens/E99TZ05n-fcDVLdrL.png?250812162815"
"1755095188-10","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","16:00","Bétis","","Valencia","","","3.72","9","1.93","3.81","–","1","1","1","/serve/images/team-logo/Homens/tb10y0Rt-MHrRLNUo.png?250812162815","/serve/images/team-logo/Homens/W4K4TTmh-zkU5wiAr.png?250812162815"
"1755095188-11","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","14:00","Atl. Madrid","Atl. Madrid","Bétis","4","Atl. Madrid","5.88","8","1.53","1.53","–","4","1","4","/serve/images/team-logo/Homens/W4K4TTmh-zkU5wiAr.png?250812162815","/serve/images/team-logo/Homens/IDEtC6BK-nLBjwR1F.png?250812162815"
"1755095188-12","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","14:00","Barcelona","Villarreal","Villarreal","3","Villarreal","4.07","8","1.71","4.07","–","2","3","2","/serve/images/team-logo/Homens/QZZkCuAK-GSuwY3p9.png?250812162815","/serve/images/team-logo/Homens/hxEqh383-fcDVLdrL.png?250812162815"
"1755095188-13","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","14:00","Celta de Vigo","Rayo Vallecano","Rayo Vallecano","2","Rayo Vallecano","4.25","8","1.89","4.25","–","1","2","1","/serve/images/team-logo/Homens/fsBtkPQt-zZXXZMUi.png?250812162815","/serve/images/team-logo/Homens/GdqPUsVE-SOY3p1Si.png?250812162815"
"1755095188-14","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","14:00","Las Palmas","Leganés","Leganés","1","Leganés","2.21","8","3.25","2.21","–","0","1","0","/serve/images/team-logo/Homens/pfK7VdUE-nDyT2xMM.png?250812162815","/serve/images/team-logo/Homens/61SJx8mh-KreeekQh.png?250812162815"
"1755095188-15","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","14:00","Mallorca","Getafe","Getafe","2","Getafe","3.46","8","2.44","3.46","–","1","2","1","/serve/images/team-logo/Homens/f967ADnh-YmCZKGcR.png?250812162815","/serve/images/team-logo/Homens/CtnAiE5n-rmDEjevK.png?250812162815"
"1755095188-16","https://www.oddsagora.com.br/football/spain/laliga-2024-2025/results/","","14:00","Osasuna","Osasuna","Espanyol","2","Osasuna","4.10","8","1.95","1.95","–","2","0","2","/serve/images/team-logo/Homens/AHP501j9-8GL0cHSF.png?250812162815","/serve/images/team-logo/Homens/zwf5maRc-bZmYBGs9.png?250812162815"
